"Aheadworks Extensions","Aheadworks Extensions"
"Refer a Friend","Refer a Friend"
"Refer a Friend by Aheadworks","Refer a Friend by Aheadworks"
"General","General"
"Who Can Invite Friends","Who Can Invite Friends"
"All Registered Customers","All Registered Customers"
"Only Registered Customers with Previous Purchases","Only Registered Customers with Previous Purchases"
"Order Status","Order Status"
"Referral Program","Referral Program"
"Create Referral Link","Create Referral Link"
"Something went wrong while creating the referral link.","Something went wrong while creating the referral link."
"Referral link has been successfully created.","Referral link has been successfully created."
"Invalid Form Key.","Invalid Form Key."
"Advocate is already a participant of the referral program","Advocate is already a participant of the referral program"
"Advocate can not participate in the referral program","Advocate can not participate in the referral program"
"Customer Groups Which Can Join Referral Program","Customer Groups Which Can Join Referral Program"
"Order Status to Give a Reward to Advocate","Order Status to Give a Reward to Advocate"
"Advocate will get a reward when order obtains selected status","Advocate will get a reward when order obtains selected status"
"Maximum RAF Discount Which Can Be Applied to Subtotal, %","Maximum RAF Discount Which Can Be Applied to Subtotal, %"
"If Unused, Earned Discount Expires in, days","If Unused, Earned Discount Expires in, days"
"The expiration is calculated since the last positive balance update","The expiration is calculated since the last positive balance update"
"Rules","Rules"
"Disabled","Disabled"
"Enabled","Enabled"
"Enabled for Spending Only","Enabled for Spending Only"
"Edit","Edit"
"Delete","Delete"
"Delete item","Delete item"
"Are you sure you want to delete selected item?","Are you sure you want to delete selected item?"
"Rule Name","Rule Name"
"Rule Status","Rule Status"
"Web Site","Web Site"
"You deleted the rule.","You deleted the rule."
"Something went wrong while deleting the rule.","Something went wrong while deleting the rule."
"This rule no longer exists.","This rule no longer exists."
"Don't Display","Don't Display"
"Static Block for Welcome Popup","Static Block for Welcome Popup"
"Rule","Rule"
"Website","Website"
"Percent","Percent"
"Fixed","Fixed"
"Cumulative","Cumulative"
"Rule","Rule"
"General Information","General Information"
"Friend's registration on the site","Friend's registration on the site"
"mandatory to get a reward towards purchase.","mandatory to get a reward towards purchase."
"is","is"
"is not","is not"
"Every friend gets","Every friend gets"
"off on their first purchase.","off on their first purchase."
"For every friend's first purchase, advocate gets","For every friend's first purchase, advocate gets"
"off (fixed) on their next order.","off (fixed) on their next order."
"The discount earned by an advocate is cumulative.","The discount earned by an advocate is cumulative."
"Back","Back"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save","Save"
"You saved the rule.","You saved the rule."
"Something went wrong while saving the rule.","Something went wrong while saving the rule."
"Save and Continue Edit","Save and Continue Edit"
"Rule name is required.","Rule name is required."
"Advocate off amount is required.","Advocate off amount is required."
"Advocate off amount is not a valid number.","Advocate off amount is not a valid number."
"Advocate off amount must be greater than 0.","Advocate off amount must be greater than 0."
"Friend off amount is required.","Friend off amount is required."
"Friend off amount is not a valid number.","Friend off amount is not a valid number."
"Friend off amount must be greater than 0.","Friend off amount must be greater than 0."
"If the registration is not mandatory, there is a chance that the same friend will get a discount several times if they will use different browsers.","If the registration is not mandatory, there is a chance that the same friend will get a discount several times if they will use different browsers."
"Can not enable the rule, because another rule (ID: #%1) is already enabled for website <%2>. Only one rule can be enabled for earning per website.","Can not enable the rule, because another rule (ID: #%1) is already enabled for website <%2>. Only one rule can be enabled for earning per website."
"Referral Discount","Referral Discount"
"Your friends will receive %1 on their first purchase and you will get %2 off for your next order!","Your friends will receive %1 on their first purchase and you will get %2 off for your next order!"
"Start inviting friends to get rewards!","Start inviting friends to get rewards!"
"You've got a reward! Now you can go shopping - it will be applied automatically on a checkout!","You've got a reward! Now you can go shopping - it will be applied automatically on a checkout!"
"Refer more friends to get rewards again!","Refer more friends to get rewards again!"
"Notifications","Notifications"
"Send me an email when I get a new reward!","Send me an email when I get a new reward!"
"Statistics summary","Statistics summary"
"Total friends referred","Total friends referred"
"Current reward balance","Current reward balance"
"Expiration date","Expiration date"
"Referral URL","Referral URL"
